complex,simple,finetuned_output,finetuned_sari,finetuned_bertscore_f1
The eight randomised clinical trials have a high risk of bias.,"Based on eight randomised clinical trials of high risk of bias, the administration of ursodeoxycholic acid to patients with primary sclerosing cholangitis did not significantly reduce mortality, hepatic decompensation, need for liver transplantation, liver histological deterioration, or radiological deterioration compared with placebo or no intervention.",The eight randomised clinical trials have a high risk of bias.,54.583651642475175,0.80007744
Statistically significant differences were not detected in any of the comparisons and outcomes.,"In each individual trial no significant differences were detected with regard to patients' survival after transplantation, HBV recurrence, or the recurrence of liver disease.",Statistically significant differences were not detected in any of the comparisons and outcomes.,42.8982128982129,0.79351234
"Our searches identified six randomised, double-blind studies involving 292 participants in suitably characterised fibromyalgia.","Six studies satisfied the inclusion criteria, randomising 292 participants to treatment with NSAID or placebo.","Our searches identified six randomised, double-blind studies involving 292 participants in suitably characterised fibromyalgia.",38.92045454545454,0.79386824
"Health workers described working on the maternity ward as stressful and intense due to short staffing, long shifts, and the unpredictability of emergencies.","Health workers described working on the maternity ward as stressful and intense due to short staffing, long shifts, and the unpredictability of emergencies.","Health workers described working on the maternity ward as stressful and intense due to short staffing, long shifts, and the unpredictability of emergencies.",100.0,1.0000002
Three eligible trials involving 569 patients were identified.,The review authors identified three eligible controlled trials in which 569 patients were randomized to Lichtenstein or preperitoneal mesh repair.,Three trials involving 569 patients were identified.,34.60648148148148,0.84511113
"There were no significant differences between people receiving supplements or dietary advice alone for change in weight, height, body mass index, z score or other indices of nutrition or growth.",There were no major differences between people receiving supplements or just dietary advice for any nutritional or growth measurements.,"There were no significant differences between people receiving supplements or dietary advice alone for change in weight, height, body mass index, z score or other indices of nutrition or growth.",45.84388737958563,0.90610236
"Three to five years after screening there was no significant difference in all-cause mortality between screened and unscreened groups for men or women (men, odds ratio (OR) 0.95; 95% Confidence interval (CI) 0.85 to 1.07; for women OR 1.06; 95% CI 0.93 to 1.21).","All-cause mortality was not significantly different between screened and unscreened groups some three to five years after screening, which is to be expected given the relative infrequency of abdominal aortic aneurysm as a cause of death.",Three to five years after screening there was no significant difference in all-cause mortality between screened and unscreened groups for men or women.,51.381651884700666,0.85027987
"The second trial randomised 81 participants with co-morbid anxiety and depression to paroxetine, paroxetine plus psychotherapy, or standard care.","One study reported that participants were less anxious when treated with an antidepressant medicine (paroxetine), or with paroxetine and psychotherapy, than with standard care.","The second trial randomised 81 participants with co-morbid anxiety and depression to paroxetine, paroxetine plus psychotherapy, or standard care.",42.349206349206355,0.8672726
"Another study evaluating cognitive behavioural therapy had inconclusive results for the assessment of coping strategies, and showed no difference between groups assessed on health service utilisation.",Another study of this therapy had inconclusive results for coping strategies and showed no difference on how different groups used the health service.,"Another study evaluating cognitive behavioural therapy had inconclusive results for the assessment of coping strategies, and showed no difference between groups assessed on health service utilisation.",49.256168611007325,0.91565984
"Prostaglandins may result in little to no difference in liver retransplantation (RR 0.98, 95% CI 0.49 to 1.96; RD 1 fewer per 1000, 95% CI 33 fewer to 62 more; 6 trials, 468 participants; low-certainty evidence); early allograft dysfunction (RR 0.62, 95% CI 0.33 to 1.18; RD 137 fewer per 1000, 95% CI 241 fewer to 47 more; 1 trial, 99 participants; low-certainty evidence); primary non-function of the allograft (RR 0.58, 95% CI 0.26 to 1.32; RD 23 fewer per 1000, 95% CI 40 fewer to 16 more; 7 trials, 624 participants; low-certainty evidence); and length of hospital stay (mean difference (MD) −1.15 days, 95% CI −5.44 to 3.14; 4 trials, 369 participants; low-certainty evidence).","– Prostaglandins may result in little to no difference in need for retransplantation (6 studies, 468 participants).",Prostaglandins may result in little to no difference in liver retransplantation (low-certainty evidence); early allograft dysfunction (low-certainty evidence); primary allograft dysfunction (low-certainty evidence); primary allograft dysfunction (low-certainty evidence).,51.68268693148587,0.83206606
"Six RCTs with a total of 1211 participants were eligible; five trials evaluated oral aciclovir, and one, with 419 participants, evaluated oral famciclovir.",They included a total of 1319 participants.,"Six trials with a total of 1211 participants were eligible; five evaluated oral aciclovir, and one, with 419 participants, evaluated oral famciclovir.",38.42097445038621,0.7799634
All trials used the LMA Classic in American Society of Anesthesiologists (ASA) physical status I or II for patients undergoing elective general anaesthesia.,All the trials were performed in individuals who were not seriously ill under elective general anaesthesia. A LMA Classic was used for all studies.,All trials used the LMA Classic in American Society of Anesthesiologists (ASA) physical status I or II for patients undergoing elective general anaesthesia.,42.871837529278544,0.83349854
Quality of life and liver decompensation were not reported in any of the trials.,Quality of life and liver decompensation were not reported in any of the trials.,Quality of life and liver decompensation were not reported in any of the trials.,100.0,0.9999999
"The study that may be able to provide answers to the question of which chemotherapeutic regimen should be selected for management of sex cord stromal tumours is an ongoing, randomised, phase 2 study, led by the Gynaecological Oncology Group to compare the efficacy of carboplatin and paclitaxel versus standard BEP.","The study that may be able to answer the question regarding best choice of chemotherapy in sex cord stromal tumours is an ongoing randomised study comparing the efficacy of two drugs (carboplatin and paclitaxel) versus standard chemotherapy (BEP - bleomycin, etoposide, cisplatin).","The study that may be able to provide answers to the question of which chemotherapeutic regimen should be selected for management of sex cord stromal tumours is an ongoing, randomised, phase 2 study, led by the Gynaecological Oncology Group to compare the efficacy of carboplatin and paclitaxel versus standard BEP.",48.90040101122739,0.89099586
Further randomised clinical trials with low risk of bias and low risk of random errors with adequate duration of follow-up are necessary.,Further randomised clinical trials at low risk of random errors or systematic errors are necessary to assess the long-term survival and other benefits of various treatment options in these patients.,Further randomised clinical trials with low risk of bias and low risk of random errors with adequate duration of follow-up are necessary.,49.443765637033366,0.8811108
A carbohydrate-rich diet resulted in better exercise performance compared with a protein-rich diet.,A diet rich in carbohydrate may be superior to a diet rich in protein.,A carbohydrate-rich diet resulted in better exercise performance compared with a protein-rich diet.,37.5,0.8858802
"The studies included in this review confirm that slow tapering with temporary substitution of long- acting opioids, can reduce withdrawal severity.","The studies included in this review confirmed that slow tapering with temporary substitution of long- acting opioids, could reduce withdrawal severity.","The studies included in this review confirm that slow tapering with temporary substitution of long-acting opioids, can reduce withdrawal severity.",26.6305442347109,0.9939832
"At this point, use of psychological interventions for the treatment of depression for which there is already an evidence-base would seem to be preferable to family therapy.","This review looks at whether family therapy is an effective intervention in treating people of any age with depression. Family therapy for depression is widely used, especially in the United Kingdom and the United States.","At this point, use of psychological interventions for the treatment of depression for which there is already an evidence-base would seem to be preferable to family therapy.",38.86300093196645,0.78393894
"The evidence in this review is therefore weak, and the exact prevalence of severe fatigue after treatment for childhood cancer remains to be determined.",The evidence to address our review question is therefore weak. The occurrence of severe fatigue after treatment for childhood cancer remains uncertain.,"The evidence in this review is therefore weak, and the exact prevalence of severe fatigue after treatment for childhood cancer remains to be determined.",52.78690020069331,0.9279843
"Participants given extended-field RT may or may not have had a lower risk of para-aortic lymph node recurrence (HR 0.44, 95% CI 0.20 to 0.99; 1 study; 389 participants; low-certainty evidence) and acute severe adverse events (RR 0.05, 95% CI 0.02 to 0.11; 1 study; 388 participants; moderate-certainty evidence).",Women given extended-field RT alone may have been less likely to experience a recurrence within the para-aortic lymph nodes and have had adverse events during or shortly after treatment.,Participants given extended-field RT may or may not have had a lower risk of para-aortic lymph node recurrence (low-certainty evidence) and acute severe adverse events (low-certainty evidence).,42.06093014128729,0.8774279
"The larger of these (CRASH-2, n = 20,211) was conducted in 40 countries and included patients with a variety of types of trauma; the other (n = 240) restricted itself to those with traumatic brain injury (TBI) only.","The largest (n = 20,211) involved patients suffering from a variety of types of trauma, and the other (n = 240) only those who had suffered traumatic brain injury.","The larger of these (CRASH-2, n = 20,211) was conducted in 40 countries and included patients with a variety of types of trauma; the other (n = 240) restricted itself to those with traumatic brain injury (TBI) only.",49.8122752853347,0.89907944
None of the observational studies reported results in favour of retaining a catheter.,No studies reported results in favour of retaining the catheter.,None of the studies reported results in favour of retaining a catheter.,59.19214291307314,0.96349514
We assessed all studies as being at an unclear or high risk of bias across multiple domains.,"We included studies evaluating these interventions using randomised controlled trials (studies where participants are randomly assigned to one of two or more treatment groups) or quasi experimental designs (where participants are assigned to different treatment groups using a method that is not truly random). We included studies that assessed child emotional and behavioural adjustment, and/or a range of parent outcomes, including parenting skills, parenting stress, depression or anxiety, mindfulness or self-compassion.",We assessed all studies as being at an unclear or high risk of bias across multiple domains.,37.5,0.76023316
"Anti-staphylococcal antibiotic prophylaxis may lead to fewer children having isolates of Staphylococcus aureus, when commenced early in infancy and continued up to six years of age.",The review found some low-quality evidence that giving regular antibiotics to young children (continued up to six years of age) may lead to fewer infections with Staphylococcus aureus.,"Anti-staphylococcal antibiotic prophylaxis may lead to fewer children having isolates of Staphylococcus aureus, when started early in infancy and continued up to six years of age.",51.033411033411035,0.86034584
All three trials are registered on the WHO trial register.,The three trials are registered on the WHO trial register.,All three trials are registered on the WHO trial register.,73.1188264779596,0.99076486
There were too few studies to permit a precise estimate of the accuracy of serum bile acid profile components.,There were too few studies to permit a precise estimate of the accuracy of serum bile acid profile components.,There were too few studies to permit a precise estimate of the accuracy of serum bile acid profile components.,100.0,1.0
"One trial, which involved 38,546 subjects and compared vaccination with placebo, met our inclusion criteria.","We identified a single high quality trial with a total of 38,546 participants, comparing vaccination with placebo.","One trial, which involved 38,546 subjects and compared vaccination with placebo, met our inclusion criteria.",40.67804053312255,0.9003554
"Though there is insufficient evidence to confirm a better functional outcome, external fixation reduces redisplacement, gives improved anatomical results and most of the excess surgically-related complications are minor.",The review found that external fixation reduced fracture redisplacement that prompted further treatment and generally improved final anatomical outcome.,"Although there is insufficient evidence to confirm a better functional outcome, external fixation reduces redisplacement, gives improved anatomical results and most of the excess surgically-related complications are minor.",37.836257309941516,0.852952
Additional trials with large sample sizes are needed to provide robust evidence for rPMS after stroke.,More trials involving larger numbers of participants are needed to determine the effects of rPMS.,Additional trials with large sample sizes are needed to provide robust evidence for rPMS after stroke.,40.57467793880837,0.88103175
"Dantrolene was reported to cause a number of adverse effects including tiredness, somnolence, dizziness and muscle weakness.","Dantrolene was reported to cause a number of side-effects including tiredness, sleepiness, dizziness and muscle weakness.","Dantrolene was reported to cause a number of adverse effects including tiredness, somnolence, dizziness and muscle weakness.",59.678260436881125,0.9617572
"Mindfulness-enhanced parenting training may improve some parent and child outcomes, with no studies reporting adverse effects.","When we combined the findings from these studies, we found that mindfulness-enhanced parent training, when compared to no intervention, may improve child emotional and behavioural adjustment, parenting skills, parenting stress, parental depression and anxiety, and mindfulness, but we are very uncertain about these results. No studies reported adverse effects or measured self-compassion.","Mindfulness-enhanced parenting training may improve some parent and child outcomes, with no studies reporting adverse effects.",43.125,0.85652536
We plan to update this review and to conduct a formal meta-analysis of outcomes based on a more homogeneous selected subsample of high-certainty studies.,We plan to update this review.,We plan to update this review and conduct a formal meta-analysis of outcomes based on a more homogeneous selected subsample of high-certainty studies.,45.60147175089704,0.86090356
"One study with 59 teachers in 43 schools found no significant effects on job-related anxiety (MD -0.25 95% CI -0.61 to 0.11, very low-quality evidence) or depression (MD -0.26 95% CI -0.57 to 0.05, very low-quality evidence) after 24 months.","In one study with 43 schools and 59 participating teachers, there was no considerable effect on anxiety or depression after two years follow-up compared to no intervention.",One study with 59 teachers in 43 schools found no significant effects on job-related anxiety or depression after 24 months.,46.424851122057255,0.90485865
Trials comparing enzyme replacement therapy to placebo show significant improvement with enzyme replacement therapy in regard to microvascular endothelial deposits of globotriaosylceramide and in pain-related quality of life.,"In summary, studies comparing enzyme replacement therapy to placebo show significant results in regard to microvascular endothelial deposits of globotriaosylceramide and in pain-related quality of life.",Trials comparing enzyme replacement therapy to placebo showed significant improvement with enzyme replacement therapy in regard to microvascular endothelial deposits of globotriaosylceramide and in pain-related quality of life.,34.06334789279854,0.975884
PFS was not reported in all of the studies but was sufficiently documented to allow firm conclusions to be drawn.,PFS was not reported in all of the studies but was sufficiently documented to allow firm conclusions to be drawn.,PFS was not reported in all of the studies but was sufficiently documented to allow firm conclusions to be drawn.,100.0,1.0
"There was a high risk of bias due to the retrospective nature of these studies where, despite statistical adjustment for important prognostic factors, selection bias was still likely to be of particular concern.",There was a high risk of bias due to the retrospective nature of these studies.,"There was a high risk of bias due to the retrospective nature of these studies where, despite statistical adjustment for important prognostic factors, selection bias was still likely to be of particular concern.",60.56660003468514,0.9194215
"All three trials measured lung function, but found no difference between groups in forced expiratory volume in one second (two trials; 44 participants; very low-certainty evidence) or vital capacity (one trial; 62 participants).","All of the trials reported lung function, but found no difference between groups.","All three trials measured lung function, but found no difference between groups in forced expiratory volume in one second (two trials; 44 participants; very low-certainty evidence) or vital capacity (one trial; 62 participants).",44.971367706930025,0.8611173
All studies were at very high risk of bias.,All studies were at very high risk of bias (low quality).,All studies were at very high risk of bias.,64.9798893916541,0.9639971
"Clindamycin and metronidazole showed identical rates of treatment failure, irrespective of regimen type, at two and four-week follow up (RR 1.01, 95% CI 0.69 to 1.46; RR 0.91, 95% CI 0.70 to 1.18, respectively).","With regard to less treatment failure, clindamycin was superior to placebo but comparable to metronidazole, irrespective of the dose regimen.","Clindamycin and metronidazole showed identical rates of treatment failure, irrespective of regimen type, at two and four-week follow up (RR 1.01, 95% CI 0.69 to 1.46; RR 0.91, 95% CI 0.70 to 1.18, respectively).",39.04766207091788,0.80354035
"This trial provided very low quality evidence that anabolic steroid may result in less dependency, assessed in terms of being either dependent in at least two functions or dead (one person in the control group died) at six and 12 months, but the result was also compatible with no difference or an increase in dependency (dependent in at least two levels of function or dead at 12 months: 1/17 versus 5/19; RR 0.22, 95% CI 0.03 to 1.73; P = 0.15).","This study provided some evidence that anabolic steroids may result in better function, but they may also make no difference or result in worse function.","This trial provided very low quality evidence that anabolic steroid may result in less dependency, assessed in terms of being either dependent in at least two functions or dead at six and 12 months, but the result was also compatible with no difference or an increase in dependency (dependent in at least two levels of function or dead at 12 months: 1/17 versus 5/19; RR 0.22, 95% CI 0.03 to 1.73; P = 0.15).",37.271757130567316,0.8053191
These findings support current national and international recommendations indicating that healthcare practitioners should refrain from using anticholinergics in children hospitalised for acute asthma.,Our findings support the ongoing recommendations provided by national and international guidelines.,These findings support current national and international recommendations indicating that healthcare practitioners should refrain from using anticholinergics in children hospitalised for acute asthma.,39.74448879778473,0.8059982
"Despite indications from observational studies in favour of early catheter removal, we found no eligible RCTs or quasi-RCTs to support these practices and therefore could draw no firm conclusions.",We found no reports on the harmful effects of removing a catheter and re-inserting a new catheter.,We found no eligible RCTs or quasi-RCTs to support these practices and therefore could draw no firm conclusions.,37.62345679012346,0.7760122
"We included 15 RCTs with a total of 17,091 participants.","We included 15 clinical trials with a total of 17,091 participants from a range of Asian, European and North American populations.","We included 15 RCTs with a total of 17,091 participants.",58.630421865715974,0.86384
"Four RCTs (215 participants) compared discontinuation to continuation of azathioprine monotherapy, while two studies (125 participants) compared discontinuation of azathioprine from a combination regimen to continuation of combination therapy.",Four of the six studies assigned patients who had been receiving azathioprine alone to either continue or discontinue therapy (215 participants).,"Four studies (215 participants) compared discontinuation to continuation of azathioprine monotherapy, while two studies (125 participants) compared discontinuation of azathioprine from a combination regimen to continuation of combination therapy.",40.6962225383278,0.85739905
Estimated costs from six individual trials ranged from 23% lower to 15% greater for the ESD group in comparison to usual care.,"When compared with usual care, costs of ESD services ranged from a reduction to a modest increase.",Estimated costs from six individual trials ranged from 23% lower to 15% greater for the ESD group in comparison to usual care.,38.63837312113174,0.84718907
"Overall, there is either no or insufficient evidence to draw definitive conclusions on the use of surgery or the best surgical intervention for distal tibial metaphyseal fractures in adults.","Overall, the evidence is of very low quality and is insufficient to draw definite conclusions about the best method of surgery, including nailing versus plating, for treating breaks of the lower end of the shin bone in adults.","Overall, there is either no or insufficient evidence to draw definitive conclusions on the use of surgery or the best surgical intervention for distal tibial metaphyseal fractures in adults.",42.59259259259259,0.8626523
"We observed a decrease in spasticity of the elbow at the end of follow-up (MD −0.41, 95% CI −0.89 to 0.07; 1 trial; 63 participants; low-certainty evidence) when comparing rPMS plus rehabilitation versus sham rPMS plus rehabilitation.",Two studies compared rPMS plus rehabilitation versus sham plus rehabilitation.,"We observed a decrease in spasticity of the elbow at the end of follow-up (MD 0.41, 95% CI 0.89 to 0.07; 1 trial; 63 participants; low-certainty evidence) when comparing rPMS plus rehabilitation versus sham rPMS plus rehabilitation.",39.7095937319228,0.82868576
"Apart from the comparison of antibiotics versus control, which included a large proportion of participants with necrotising pancreatitis, the remaining comparisons had only a small proportion of patients with this condition.","Apart from the comparison of whether antibiotics should be used, the other comparisons included only a small percentage of people with pancreatic necrosis (an extremely severe form of pancreatitis, which results in pancreatic destruction).","Apart from the comparison of antibiotics versus control, which included a large proportion of participants with necrotising pancreatitis, the remaining comparisons had only a small proportion of patients with this condition.",45.80620373303301,0.8983085
"In four of the trials (692 participants), there was some evidence for a reduction in the incidence of pain four weeks after the onset of rash.","In the other trial (419 participants), famciclovir, which is another antiviral drug, was no better than placebo in preventing pain following healing of the shingles rash.","In four of the trials (692 participants), there was some evidence for a reduction in the incidence of pain four weeks after the onset of rash.",41.260987153482084,0.82036066
One trial (77 participants) compared combination with a benzodiazepine alone.,"These comparisons involved just 166 patients and 77 patients, respectively. The trial which compared the combination of treatments with a benzodiazepine alone demonstrated no differences in response during the intervention.",One trial (77 participants) compared combination with a benzodiazepine alone.,47.56410256410257,0.8784956
Inhaled antibiotics plus intravenous antibiotics versus intravenous antibiotics alone Inhaled antibiotics plus intravenous antibiotics may make little or no difference to quality of life compared to intravenous antibiotics alone.,Inhaled antibiotics plus intravenous antibiotics versus intravenous antibiotics alone One trial found that there is likely no difference in quality of life between treatments.,Inhaled antibiotics plus intravenous antibiotics versus intravenous antibiotics alone Inhaled antibiotics plus intravenous antibiotics may make little or no difference to quality of life compared to intravenous antibiotics alone.,49.439308337613426,0.9096061
"One study found significantly harmful effects for STI incidence (n=2711), pregnancy incidence (n=1548), and frequency of vaginal sex (n=338); these effects were also offset by studies with non-significant findings.","One evaluation found several significant adverse (harmful) program effects: abstinence-only program participants were more likely than usual-care controls to report sexually transmitted infections (n=2711), pregnancy (n=1548), and increased frequency of vaginal sex (n=338). These effects were offset by high attrition and other studies showing non-significant effects.","One study found significantly harmful effects for STI incidence (n=2711), pregnancy incidence (n=1548), and frequency of vaginal sex (n=338); these effects were also offset by studies with non-significant findings.",54.75695208746056,0.9025345
We identified one trial with high risk of bias which compared percutaneous (n = 20) versus open technique (n =19) of veno-venous bypass.,We also identified one trial with high risk of systematic error and high risk of random errors which compared needle technique (percutaneous approach) (n = 20) with open technique (n =19) of veno-venous bypass.,We identified one trial with high risk of bias which compared percutaneous (n = 20) versus open technique (n =19) of veno-venous bypass.,60.523924545663675,0.95534396
"Large-volume, hypertonic nasal saline versus usual care One trial included 76 adult participants (52 intervention, 24 control) with or without polyps.Disease-specific HRQL was reported using the Rhinosinusitis Disability Index (RSDI; 0 to 100, 100 = best quality of life).","Large-volume, hypertonic nasal saline versus usual care In the small trial of 76 participants our primary outcome of 'disease-specific health-related quality of life' was reported using a 0- to 100-point scale.","Large-volume, hypertonic nasal saline versus usual care One trial included 76 adult participants (52 intervention, 24 control) with or without polyps.Disease-specific HRQL was reported using the Rhinosinusitis Disability Index (RSDI; 0 to 100, 100 = best quality of life).",45.20038441091073,0.8545692
"Although DET achieves higher live birth and clinical pregnancy rates per fresh cycle, the evidence suggests that the difference in effectiveness may be substantially offset when elective SET is followed by a further transfer of a single embryo in fresh or frozen cycle, while simultaneously reducing multiple pregnancies, at least among women with a good prognosis.","While live birth and clinical pregnancy was lower following SET compared to DET after single fresh cycle, there was no difference between overall live birth rate and CPR following consecutive SET versus a single cycle of DET. However, the multiple pregnancy rate is much lower following SET compared to DET. Most of the evidence currently available concerns younger women with a good prognosis.","Although DET achieves higher live birth and clinical pregnancy rates per fresh cycle, the evidence suggests that the difference in effectiveness may be substantially offset when elective SET is followed by a further transfer of a single embryo in fresh or frozen cycle, while simultaneously reducing multiple pregnancies, at least among women with a good prognosis.",44.929849429095064,0.8523709
"As this included only 25 people with anxiety and 17 with depression and 20 more with either anxiety or depression, but which was not specified, the results could only be reported narratively.","This included only 25 people with anxiety, 17 with depression and 20 more with either anxiety or depression but which was not specified.","As this included only 25 people with anxiety and 17 with depression and 20 more with either anxiety or depression, the results could only be reported narratively.",44.356109864551364,0.92185426
"Treatments were delivered intensively in one-hour sessions, four days a week for three weeks, in a university clinic in Australia.","Both therapies were delivered intensively in one-hour sessions, four days a week for three weeks.","Treatments were delivered intensively in one-hour sessions, four days a week for three weeks, in a university clinic in Australia.",58.37124631271622,0.9228333
Only one study included women.,Only one trial included women.,Only one study included women.,50.492424242424235,0.93502337
The available evidence from this review is of insufficient quantity and quality to draw any firm conclusions about the effects of self-management education for cystic fibrosis.,"However, due to the small number of trials in this review, and because of concerns about the quality of these trials, we are unable to reach any firm conclusions about the effects of self-management education for cystic fibrosis.",The available evidence from this review is of insufficient quantity and quality to draw any firm conclusions about the effects of self-management education for cystic fibrosis.,55.86018645184172,0.89680046
"The results for the low-dose supplementation period should be interpreted with caution, due to the lack of a wash-out period after the high-dose supplementation.",Not all outcome measures were reported after each supplementation dose and results should be viewed with some caution as some beta-carotene from the high-dose period was probably still present in the blood during the low-dose supplementation period.,"The results for the low-dose supplementation period should be interpreted with caution, due to the lack of a wash-out period after the high-dose supplementation.",44.067250603510146,0.86820316
"Thirty-two per cent (36/111) of azathioprine withdrawal participants relapsed compared to 14% (14/104) of participants who continued with azathioprine therapy (RR 0.42, 95% CI 0.24 to 0.72, GRADE low quality evidence).",Clinical relapse occurred in 13% (14/104) of patients who continued azathioprine monotherapy compared to 32% (36/111) of patients who discontinued azathioprine monotherapy.,Thirty-two per cent (36/111) of azathioprine withdrawal participants relapsed compared to 14% (14/104) of participants who continued with azathioprine therapy.,50.26355139664492,0.9236357
"Therefore, we conducted no statistical analysis.","We identified no randomized controlled trials for statistical analyses and assessments. Therefore, we can present no results on the effect of catheter removal on survival when Candida is found in the bloodstream.","Therefore, we conducted no statistical analysis.",46.56084656084656,0.83113396
"The evidence presented in this review was based on a few relatively small-sized studies that were categorised to have unclear to high risk of bias, which does not allow confident decision-making at present about the use of beta2-adrenoceptor agonists for dysmenorrhoea.",At present there is insufficient evidence to allow confident decision-making about the use of beta2-adrenoceptor agonists for dysmenorrhoea.,"The evidence presented in this review was based on a few relatively small-sized studies that were categorised to have unclear to high risk of bias, which does not allow confident decision-making at present about the use of beta2-adrenoceptor agonists for dysmenorrhoea.",47.646678379548284,0.9001706
"The one positive finding from amongst the several studies examining a number of different comparisons must be treated with appropriate caution, in particular when the clinical significance of the measure is uncertain.","One positive finding (polyps size scores) from amongst the several studies examining a number of different comparisons must be treated with appropriate caution, in particular when the clinical significance of the measure is uncertain.","The one positive finding from amongst the several studies examining a number of different comparisons must be treated with appropriate caution, in particular when the clinical significance of the measure is uncertain.",65.38683378726132,0.9687434
The patient or graft survival was not reported.,The patient or graft survival was not reported in this trial.,The patient or graft survival was not reported.,64.71250971250971,0.95163935
"Subgroup analyses for causative organisms showed that corticosteroids reduced mortality in Streptococcus pneumoniae (S pneumoniae) meningitis (RR 0.84, 95% CI 0.72 to 0.98), but not in Haemophilus influenzae (H influenzae) orNeisseria meningitidis (N meningitidis) meningitis.","An analysis for different bacteria causing meningitis showed that patients with meningitis due to Streptococcus pneumoniae (S pneumoniae) treated with corticosteroids had a lower death rate (29.9% versus 36.0%), while no effect on mortality was seen in patients with Haemophilus influenzae (H influenzae) and Neisseria meningitidis (N meningitidis) meningitis.","Subgroup analyses for causative organisms showed that corticosteroids reduced mortality in Streptococcus pneumoniae (S pneumoniae) meningitis (RR 0.84, 95% CI 0.72 to 0.98), but not in Haemophilus influenzae (H influenzae) orNeisseria meningitidis (N meningitidis) meningitis.",50.88265799760053,0.905815
One study of family psycho-education was not associated with a reduction in depression.,One education study did not show a reduction in depression.,One study of family psycho-education was not associated with a reduction in depression.,49.21294391882628,0.9154178
We mapped the range of client target populations.,"We described the different study methods, countries, the scope and type of primary healthcare integration approaches, and the different types of healthcare workers and client groups involved.",We mapped the range of client target populations.,39.285714285714285,0.816422
The evidence relating to the effectiveness of different types of surgery versus medical treatment for adults with chronic rhinosinusitis with nasal polyps is of very low quality.,"In addition, some of the treatment regimens used in the trials are no longer current standards of therapy for patients with chronic rhinosinusitis with nasal polyps.",The evidence relating to the effectiveness of different types of surgery versus medical treatment for adults with chronic rhinosinusitis with nasal polyps is of very low quality.,44.73091505579129,0.86201906
The identification of studies currently underway and those awaiting classification indicate that this is an area of research from which further evidence will emerge in the short and longer term.,This is an area of HF research from which further evidence will emerge in the short and longer term.,The identification of studies currently underway and those awaiting classification indicate that this is an area of research from which further evidence will emerge in short and longer term.,21.0093975205322,0.9106653
"Based on the GRADE approach, we judged the certainty of evidence related to the primary outcome as low, owing to the small sample size of the studies.","We classified the quality of the evidence as low for improving activities of daily living, mainly because one study had a small sample size.","Based on the GRADE approach, we judged the certainty of evidence related to the primary outcome as low, due to the small sample size of the studies.",41.368994989684644,0.87090695
"Until results of adequately-powered future trials are available, treatment needs to be selected on a pragmatic basis, based upon any available non-randomised evidence, the clinical circumstances of the individual, the known effectiveness of drugs against local strains and upon individual preference.","Until the results of large trials are available, people should choose their treatment on a practical basis, basing decisions on any available evidence, their clinical circumstances, the known effectiveness of drugs against local strains of the bug and individual preference.","Until results of adequately-powered future trials are available, treatment needs to be selected on a pragmatic basis, based on any available non-randomised evidence, the clinical circumstances of the individual, the known effectiveness of drugs against local strains and upon individual preference.",52.436649628808574,0.91260356
One study presented a prevalence for bone cancer survivors of 0.0% (17 survivors).,One study in bone cancer survivors reported no cases of severe fatigue.,One study presented a prevalence for bone cancer survivors of 0.0% (17 survivors).,41.821393762183234,0.8635043
The single large RCT (ADOPT - A Diabetes Outcomes Progression Trial) indicated increased cardiovascular risk.,The single large randomised controlled trial showed evidence of raised cardiovascular risk after rosiglitazone treatment.,The single large RCT (ADOPT - A Diabetes Outcomes Progression Trial) indicated increased cardiovascular risk.,41.48039215686274,0.8527428
Further research is required to identify clinically important differences between these devices.,We recommend further research to compare different types of percutaneous long intravenous line.,Further research is required to identify clinically important differences between these devices.,38.536953242835594,0.8042911
