complex,simple,finetuned_output,finetuned_sari,finetuned_bertscore_f1
"Large randomised clinical trials comparing long-term combination treatment to each of the monotherapy alone, including the newer antiviral drugs, are needed.",Randomised clinical trials are needed to examine this practice.,"Large randomised trials comparing long-term combination treatment to each of the monotherapy alone, including newer antiviral drugs, are needed.",27.940115440115438,0.8304357
We identified only low- or very low-certainty evidence to judge the effectiveness of inhaled antibiotics for the treatment of pulmonary exacerbations in people with cystic fibrosis.,We graded the certainty of the evidence as very low or low.,We identified only low- or very low-certainty evidence to judge the effectiveness of inhaled antibiotics for the treatment of pulmonary exacerbations in people with cystic fibrosis.,36.77248677248677,0.7825952
We need further evaluation of the effects of organisational interventions for teacher wellbeing.,We need better-designed research in the development and testing of work changes in schools.,We need further evaluation of the effects of organisational interventions for teacher wellbeing.,38.80952380952381,0.83399636
The evidence from this review shows that ACTs may have short-term effects on increasing mucus transport in people with CF.,This review found that methods of clearing the airways may have short-term benefits for moving mucus.,The evidence from this review shows that ACTs may have short-term effects on increasing mucus transport in people with CF.,41.34057971014493,0.86592853
"There was a significant difference in the Brief Pain Inventory pain-related quality of life at over five months and up to six months, mean difference -2.10 (95% confidence interval -3.92 to -0.28) but not at other time points.",The study that reported pain and pain-related quality of life showed an improvement for participants receiving treatment over the six-month observation period.,"There was a significant difference in the Brief Pain Inventory pain-related quality of life at over five months and up to six months, mean difference -2.10 (95% confidence interval -3.92 to -0.28) but not at other time points.",38.75114230793471,0.7930798
Source of funding: seven trials were not funded or funded by agencies without vested interest in results.,Source of funding: seven trials were not funded or were funded by agencies without vested interest in results.,Source of funding: Seven trials were not funded or funded by agencies without vested interest in results.,73.37900246305419,0.99365544
"We found no information on a dose-response relationship with BtA, differences between BtA formulations or different anticholinergics, the utility of electromyography-guided injections, or the duration of treatment effect.","We found no information on the effects of different doses of BtA, different formulas of BtA or types of anticholinergics, the usefulness of guiding injections by electromyography, or how long the effects lasted.","We found no information on a dose-response relationship with BtA, differences between BtA formulations or different anticholinergics, the utility of electromyography-guided injections, or the duration of treatment effect.",45.62152321639988,0.9213601
We are also unable to say whether either treatment is better than no treatment or treatment as usual.,"We were not able to find out whether one of these treatment was better than the other, or whether either was better than no treatment or treatment as usual.",We are also unable to say whether either treatment is better than no treatment or treatment as usual.,55.192006269592476,0.9207942
"Further randomised trials are warranted on other issues, but should be preceded by research to identify priority questions.","Although other RCTs are needed to address key clinical questions on surgical methods for treating these fractures, these studies should be preceded by research to determine which questions should be prioritised.","Further randomised trials are warranted on other issues, but should be preceded by research to identify priority questions.",48.58585858585858,0.862147
"The need for coronary revascularisation might be reduced by adding ezetimibe to statin (RR 0.94, 95% CI 0.89 to 0.99; a decrease from 196/1000 to 184/1000, 95% 175 to 194; 21,323 participants; 7 studies); however, no difference in coronary revascularisation rate was observed when a sensitivity analysis was limited to studies with a low risk of bias.",Ezetimibe with statins might reduce the need for coronary revascularisation (the restoration of an adequate blood supply to the heart) by means of surgery.,"The need for coronary revascularisation might be reduced by adding ezetimibe to statin (a decrease from 196/1000 to 184/1000, 95% 175 to 194; 21,323 participants; 7 studies); however, no difference in coronary revascularisation rate was observed when a sensitivity analysis was limited to studies with a low risk of bias.",38.13809003098232,0.81199646
We found no new RCTs when we updated the searches in April 2013.,"The evidence is current to April 2013, when the searches were last updated.",We found no new RCTs when we updated the searches in April 2013.,41.38888888888889,0.83881414
"Using GRADE, we assessed the overall quality of the available evidence on cholesterol as low.",We evaluated nine randomised studies assessing the effects of whole grain diets compared to diets with refined grains or a usual diet on levels of cholesterol in the blood or blood pressure (major risk factors for cardiovascular disease including heart attacks or stroke).,"Using GRADE, we assessed the overall quality of the available evidence on cholesterol as low.",37.878787878787875,0.799097
The evidence from the 65 trials included in this review suggests that NSAIDs are effective for short-term symptomatic relief in patients with acute and chronic low-back pain without sciatica.,"This review found 65 studies (including over 11,000 patients) of mixed methodological quality that compared various NSAIDs with placebo (an inactive substance that has no treatment value), other drugs, other therapies and with other NSAIDs. The review authors conclude that NSAIDs are slightly effective for short-term symptomatic relief in patients with acute and chronic low-back pain without sciatica (pain and tingling radiating down the leg).",The evidence from the 65 trials included in this review suggests that NSAIDs are effective for short-term symptomatic relief in patients with acute and chronic low-back pain without sciatica.,57.602256881206515,0.8851472
Subgroup analyses revealed no clear subgroup effects for longer-term outcomes (four or more months) for assessment only versus alternative intervention controls; for university/college vs other settings; or for higher risk vs all/low risk participants.,"Also, there were no clear subgroup differences in effects when we examined the type of comparison group (assessment only control or alternative intervention, the setting (college/university vs other settings), or risk status (higher risk students vs all/low-risk students).",Subgroup analyses revealed no clear subgroup effects for longer-term outcomes (four or more months) for assessment only versus alternative intervention controls; for university/college vs other settings; or for higher risk vs all/low risk participants.,43.679986590132295,0.87546057
"In women who have had cancer in one breast, removing the other breast may reduce the incidence of cancer in that other breast, but there is insufficient evidence that this improves survival because of the continuing risk of recurrence or metastases from the original cancer.","However, most women also experienced reduced worry of developing and dying from breast cancer along with diminished satisfaction with body image and sexual feelings In women who have had cancer in one breast, removing the other breast (CRRM) may reduce the incidence of cancer in that other breast, but there is insufficient evidence that this improves survival because of the continuing risk of recurrence or metastases from the original cancer.","In women who have had cancer in one breast, removing the other breast may reduce the incidence of cancer in that other breast, but there is insufficient evidence that this improves survival because of the continuing risk of recurrence or metastases from the original cancer.",66.09833971902937,0.94626665
There is high quality evidence that oral aciclovir does not reduce the incidence of PHN significantly.,"We conclude that according to high quality evidence, oral aciclovir was ineffective in reducing the incidence of PHN and there is not enough evidence on other antiviral treatments.",There is high quality evidence that oral aciclovir does not reduce the incidence of PHN significantly.,49.82156771076827,0.905552
"However they caused lower rates of severe hearing loss (RR 0.67, 95% CI 0.51 to 0.88), any hearing loss (RR 0.74, 95% CI 0.63 to 0.87) and neurological sequelae (RR 0.83, 95% CI 0.69 to 1.00).","Patients treated with corticosteroids had significantly lower rates of severe hearing loss (6.0% versus 9.3%), any hearing loss (13.8% versus 19.0%) and neurological sequelae (17.9% versus 21.6%).","However they caused lower rates of severe hearing loss (RR 0.67, 95% CI 0.51 to 0.88), any hearing loss (RR 0.74, 95% CI 0.63 to 0.87) and neurological sequelae (RR 0.83, 95% CI 0.69 to 1.00).",49.27377601723479,0.80432856
"Corticosteroid therapy reduced morbidity, but not mortality, for adults and children with non-severe CAP.","People with non-severe CAP may also benefit from corticosteroid therapy, but with no survival advantage.","Corticosteroid therapy reduced morbidity, but not mortality, for adults and children with non-severe CAP.",43.02748226950355,0.86715
No randomised controlled trials or controlled trials were found that examined the efficacy of non-pharmacological swallowing therapy for the treatment of dysphagia in Parkinson's disease.,"There were no controlled trials, randomised or otherwise, in this field.",No randomised controlled trials or controlled trials were found that examined the efficacy of non-pharmacological swallowing therapy for the treatment of dysphagia in Parkinson's disease.,37.69645789350223,0.7882322
"Due to the high risk of bias in the current evidence, randomised controlled trials should be performed to determine whether it is the surgical intervention or patient-related and disease-related factors that are associated with the improved survival in these groups of women.","Due to the high risk of bias in the current evidence, randomised controlled trials should be performed to determine whether it is the surgical intervention or patient-related and disease-related factors that are associated with the improved survival in these groups of women.","Due to the high risk of bias in the current evidence, randomised controlled trials should be performed to determine whether it is the surgical intervention or patient-related and disease-related factors that are associated with the improved survival in these groups of women.",100.0,0.9999999
"In children hospitalised for an acute asthma exacerbation, no evidence of benefit for length of hospital stay and other markers of response to therapy was noted when nebulised anticholinergics were added to short-acting β2-agonists.","No apparent benefit is derived from adding anticholinergics to beta2-agonists in children hospitalised for an acute asthma exacerbation, that is, beyond initial treatment in the emergency department.","In children hospitalised for an acute asthma exacerbation, no evidence of benefit for length of hospital stay and other markers of response to therapy was noted when nebulised anticholinergics were added to short-acting 2-agonists.",47.570126945126944,0.87035036
Recurrence-free survival was not reported in one study.,Recurrence-free survival was not reported in one study.,Recurrence-free survival was not reported in one study.,100.0,1.0000001
"One study used autogenic drainage; five used conventional chest physiotherapy; nine used positive expiratory pressure (PEP), with one study varying the water pressure between arms; three studies used oscillating PEP; two used exercise; and two used high-frequency chest wall oscillation (HFCWO).","One study used autogenic drainage (a controlled breathing technique which uses different speeds and depths of exhaled breath to move mucus up the airways so it can be cleared by coughing); five studies used conventional chest physiotherapy (manual techniques of percussion and vibration applied to the chest wall, usually with the assistance of a physiotherapist or relative); nine used positive expiratory pressure (breathing out through a mask or mouthpiece against a resistance which causes pressure to build up in the lungs to move the mucus), and one of these varied pressure so used both standard and high-pressure positive expiratory pressure; three studies used oscillating positive expiratory pressure (positive expiratory pressure combined with vibrations within the airway to loosen mucus); two used exercise (on a treadmill); and two used high-frequency chest wall oscillation (high frequency vibrations applied outside the chest wall via an inflatable garment).","One study used autogenic drainage; five used conventional chest physiotherapy; nine used positive expiratory pressure (PEP), with one study varying the water pressure between arms; three used oscillating PEP; two used exercise; and two used high-frequency chest wall oscillation (HFCWO).",25.956446692350838,0.84845227
"We included a total of 84 trials (22,872 participants), with 70/84 studies reporting interventions in higher risk individuals or settings.",We found a total of 84 randomised controlled trials (studies where participants were randomly divided into one of two or more treatment or control groups) that compared MI with either no intervention or with a different approach. Seventy of these trials focused on higher risk individuals or settings.,"We included a total of 84 trials (22,872 participants), with 70/84 studies reporting interventions in higher risk individuals or settings.",50.174073199114545,0.8537773
"However, the results must be interpreted with caution although the quality of the evidence was high, because there were variations between the trials in: the intensity, duration, and amount of training; type of treatment; participant characteristics; and measurements used.",The quality of the evidence was high.,"However, the results must be interpreted with caution although the quality of the evidence was high, because there were variations between the trials in: the intensity, duration, and amount of training; type of treatment; participant characteristics; and measurements used.",48.837660126843346,0.8207709
Our review looked at one-month post-therapy outcomes only.,Our review looked at one-month post-therapy outcomes only.,Our review looked at one-month post-therapy outcomes only.,100.0,1.0
"Low-quality evidence from two trials showed that chlorhexidine skin cleansing compared to dry cord care may lead to no difference in omphalitis/infections (RR 0.88, 95% CI 0.56 to 1.39).",Chlorhexidine skin cleansing compared to dry cord care may lead to no difference in omphalitis or infections (none of the studies in this comparison reported effects of the treatments on neonatal mortality).,Low-quality evidence from two trials showed that chlorhexidine skin cleansing compared to dry cord care may lead to no difference in omphalitis/infections.,54.27274660420728,0.91084564
"This systematic literature review indicates that cardiometabolic comorbidities are common in people who are hospitalised with a COVID-19 infection, and cardiovascular complications are frequent.","We found that high blood pressure, diabetes and heart disease are very common in people hospitalised with COVID-19 and are associated with an increased risk of death.","This systematic literature review indicates that cardiometabolic comorbidities are common in people who are hospitalised with a COVID-19 infection, and cardiovascular complications are frequent.",40.913919413919416,0.85337317
"Amantadine and rimantadine have comparable efficacy and effectiveness in relieving or treating symptoms of influenza A in healthy adults, although rimantadine induces fewer adverse effects than amantadine.","The review of trials found that both drugs are similarly helpful in relieving the symptoms of influenza A in adults, but only when there is a high probability that the cause of the flu is influenza A (a known epidemic, for example).","Amantadine and rimantadine have comparable efficacy and effectiveness in relieving or treating symptoms of influenza A in healthy adults, although rimantadine induces fewer adverse effects than amantadine.",43.54341736694678,0.8100942
"Evidence for the added value of mindfulness training to skills-based parenting training programmes is suggestive at present, with moderate reductions in parenting stress.","Evidence for the added value of mindfulness training when included in a skills-based parent training programme suggests that mindfulness training may further promote reductions in parenting stress, and may also further reduce parental depression or anxiety, but we are uncertain about these results. It is unclear from the current body of evidence whether adding mindfulness training to a skills-based parent training intervention has any further effect on child emotional and behavioural adjustment, parenting skills, or mindfulness.","Evidence for the added value of mindfulness training to skills-based parenting training programmes is suggestive at present, with moderate reductions in parenting stress.",53.91369047619047,0.8662154
"Pooled data showed that the proportion of patients reporting an overall reduction in their vertigo symptoms was higher in the group treated with betahistine than the placebo group: risk ratio (RR) 1.30, 95% confidence interval (CI) 1.05 to 1.60; 606 participants; 11 studies).","When all studies are taken together, the proportion of patients reporting a reduction of their vertigo symptoms was significantly higher in the betahistine group than in the placebo group.",Pooled data showed that the proportion of patients reporting an overall reduction in their vertigo symptoms was higher in the group treated with betahistine than the placebo group.,51.423801256673265,0.93277884
We included six non-randomised studies (five retrospective) that compared laparoscopic versus open transhiatal oesophagectomy (334 patients: laparoscopic = 154 patients; open = 180 patients); five studies (326 patients: laparoscopic = 151 patients; open = 175 patients) provided information for one or more outcomes.,"Since one of the studies did not provide usable results, five studies, with 326 patients, provided information for this review; laparoscopic surgery = 151 patients and open surgery = 175 patients.",We included six non-randomised studies (five retrospective) that compared laparoscopic versus open transhiatal oesophagectomy (334 patients: laparoscopic = 154 patients; open = 180 patients); five studies (326 patients: laparoscopic = 151 patients; open = 175 patients) provided information for one or more outcomes.,40.97646180979515,0.84866524
"No specific antibiotic combination can be considered to be superior to any other, and neither is there evidence showing that the intravenous route is superior to the inhaled or oral routes.",Specific antibiotic combinations were also compared as were intravenous antibiotics with antibiotics that were breathed in (inhaled) and antibiotics that were swallowed (oral).,"No specific antibiotic combination can be considered to be superior to any other, and neither is there evidence showing that the intravenous route is superior to the inhaled or oral routes.",37.663690476190474,0.81445515
We included 10 randomised trials (836 participants) in this review.,We included 10 randomised trials (836 participants).,We included 10 randomised trials (836 participants) in this review.,68.31119162640901,0.9627578
"However, the quality of evidence available is either low or very low.",The quality of the evidence that is available is either low or very low for all the outcomes described.,"However, the quality of evidence available is either low or very low.",57.32142857142857,0.9174719
We included four RCTs with 167 participants.,We found four eligible studies with 167 participants.,We included four RCTs with 167 participants.,52.420634920634924,0.8862714
One study awaits classification and could not be included in the review.,One study awaits classification and could not be included in the review.,One study awaits classification and could not be included in the review.,100.0,1.0
"One study provided information concerning mental health outcomes, reporting an association between decreased depressive symptoms and later school start times.",One study reported that students in later starting schools reported fewer depressive symptoms than their peers in earlier starting schools.,"One study provided information about mental health outcomes, reporting an association between decreased depressive symptoms and later school start times.",38.62433862433863,0.8406966
More research is required using relatively cheap antidotes which may also be effective.,More research is required using relatively cheap antidotes which may also be effective.,More research is required using relatively cheap antidotes which may also be effective.,100.0,1.0
Large well designed placebo-controlled RCTs are required to assess the effectiveness of swallowing therapy for dysphagia in Parkinson's disease and reported according to CONSORT guidelines.,Large well designed placebo-controlled RCTs are needed to assess the effectiveness of swallowing therapy for swallowing disorders in Parkinson's disease.,Large well designed placebo-controlled RCTs are required to assess the effectiveness of swallowing therapy for dysphagia in Parkinson's disease and reported according to CONSORT guidelines.,55.71815492119098,0.9505302
"Sixteen per cent of patients from both the betahistine and the placebo groups withdrew (dropped out) from the studies (RR 0.96, 95% CI 0.65 to 1.42; 481 participants; eight studies).","Overall, 16% of patients of both groups withdrew from the studies.",Sixteen per cent of patients from both the betahistine and the placebo groups withdrew from the studies (dropped out; 481 participants; eight studies).,44.051349184029576,0.8706536
"While all trials compared external fixation versus plaster cast immobilisation, there was considerable variation especially in terms of patient characteristics and interventions.","While all trials compared external fixation versus plaster cast immobilisation, there was considerable variation in their characteristics especially in terms of patient characteristics and the method of external fixation.","While all trials compared external fixation versus plaster cast immobilisation, there was considerable variation especially in terms of patient characteristics and interventions.",63.948506893830995,0.96989846
Low dose creatine (60 mg/kg/day) did not cause side-effects but high-dose creatine (150 mg/kg/day) worsened the symptoms of myalgia.,Low dose creatine (60 mg/kg/day) did not cause any side-effects but high-dose creatine (150 mg/kg/day) worsened the symptoms of muscle pain.,Low dose creatine (60 mg/kg/day) did not cause side-effects but high-dose creatine (150 mg/kg/day) worsened the symptoms of myalgia.,64.36859732072499,0.977832
"One randomised trial with a total of 133 participants showed that there was a significant improvement in ankle brachial index (ABI) in participants who received folic acid compared with placebo (mean difference (MD) 0.07, 95% confidence interval (CI) 0.04 to 0.11, P < 0.001) and in participants who received 5-methyltetrahydrofolate (5-MTHF) versus placebo (MD 0.05, 95% CI 0.01 to 0.10, P = 0.009).",One trial showed a significant  improvement in the ankle brachial index (ABI) in participants treated daily with 400 μg folic acid or 5-methyltetrahydrofolate (5-MTHF).,"One randomised trial with a total of 133 participants showed that there was a significant improvement in ankle brachial index (ABI) in participants who received folic acid compared with placebo (mean difference) 0.07, 95% confidence interval (CI) 0.04 to 0.11, P  0.001) and in participants who received 5-methyltetrahydrofolate (5-MTHF) versus placebo (P = 0.009).",46.24432646045886,0.8718596
There is thus insufficient evidence to support or refute the use of relaxin in women in preterm labour for preventing preterm birth.,There is therefore insufficient evidence from this review to recommend relaxin as an intervention to prevent preterm birth for women in preterm labour.,There is therefore insufficient evidence to support or refute the use of relaxin in women in preterm labour for preventing preterm birth.,53.22657721971223,0.91994435
"We found no significant differences in the primary outcomes of relapse, hospitalisation and general functioning between supportive therapy and standard care.","The studies compared supportive therapy either with standard care alone or a range of other therapies such as CBT, family therapy and psychoeducation.","We found no significant differences in the primary outcomes of relapse, hospitalisation and general functioning between supportive therapy and standard care.",39.978142076502735,0.81986344
The question as to whether people with AMD should take Ginkgo biloba extract to prevent progression of the disease has not been answered by research to date.,The overall conclusion of this review is that current research has not answered the question as to whether Ginkgo biloba is of benefit to people with AMD.,The question as to whether people with AMD should take Ginkgo biloba extract to prevent progression of the disease has not been answered by research to date.,47.02041229363634,0.86845565
"Inhaled plus intravenous antibiotics may make little difference to the time to next exacerbation; however, one trial (28 participants) reported on hospital admissions and found no difference between groups.","One trial showed there to be little or no difference in the time until the next exacerbation. None of the trials reported on the need for additional antibiotics; however, one trial (28 participants) found no difference in the number of hospital admissions between groups.","Inhaled and intravenous antibiotics may make little difference to the time to next exacerbation; however, one trial (28 participants) reported on hospital admissions and found no difference between groups.",53.232512795683576,0.9054967
"Whilst some may argue that at least supplements do not do any harm, high doses of vitamin D may give rise to serious medical problems, and the cost of long-term supplements may also mount up.","People sometimes think that supplements can at least do no harm; however, high doses of vitamin D, for example, can cause serious medical problems, and the safety of dietary supplements should not be assumed. The cost of supplements can also mount up.","While some may argue that at least supplements do not do any harm, high doses of vitamin D may give rise to serious medical problems, and cost of long-term supplements may also mount up.",35.479165789699316,0.909416
Inhaled antibiotics alone versus intravenous antibiotics alone Only one trial (18 participants) reported a perceived improvement in lifestyle (quality of life) in both groups (very low-certainty evidence).,"Inhaled antibiotics alone versus intravenous antibiotics alone One trial (18 participants) reported a perceived improvement in lifestyle in both groups, but neither trial reported on time off work or school.",Inhaled antibiotics alone versus intravenous antibiotics alone Only one trial (18 participants) reported a perceived improvement in lifestyle (quality of life) in both groups (very low-certainty evidence).,56.62578338125783,0.9224154
"This update included 12 new studies, excluded one previously included study, and excluded five new trials.",We included 12 new studies in this update and excluded one previously included study.,"This update included 12 new studies, excluded one previously included study, and excluded five new trials.",52.35962867541814,0.9289876
Resistance of influenza viruses to amantadine is a serious worldwide problem as shown by recent virological surveillances.,Resistance of influenza viruses to amantadine is a serious worldwide problem as shown by recent surveys.,Resistance of influenza viruses to amantadine is a serious worldwide problem as shown by recent virological surveillances.,63.582024083888896,0.9704876
"Because of the insufficient evidence, we cannot draw firm conclusions concerning adverse effects at this time.","Again, because of the limited and very low-quality evidence, we cannot draw any firm conclusions about the adverse effects of later school start times.","Because of the insufficient evidence, we cannot draw conclusions concerning adverse effects at this time.",39.058134959669495,0.8895235
"There is moderate evidence that NSAIDs are not more effective than paracetamol for acute low-back pain, but paracetamol had fewer side effects.","The review authors also found that NSAIDs are not more effective than other drugs (paracetamol/acetaminophen, narcotic analgesics, and muscle relaxants). Placebo and paracetamol/acetaminophen had fewer side effects than NSAIDs, though the latter has fewer side effects than muscle relaxants and narcotic analgesics.","There is moderate evidence that NSAIDs are not more effective than paracetamol for acute low-back pain, but paracetamol had less side effects.",25.182581666180077,0.84527934
Further research is required.,Therefore further research is likely to have an important impact on our confidence in these results and may even change the results.,Further research is required.,50.46296296296296,0.7790657
"Extended-field radiotherapy versus pelvic radiotherapy alone Compared to pelvic RT, extended-field RT probably reduces the risk of death (hazard ratio (HR) 0.67, 95% confidence interval (CI) 0.48 to 0.94; 1 study; 337 participants; moderate-certainty evidence) and para-aortic lymph node recurrence (risk ratio (RR) 0.36, 95% CI 0.18 to 0.70; 2 studies; 477 participants; moderate-certainty evidence), although there may or may not have been improvement in the risk of disease progression (HR 0.92, 95% CI 0.69 to 1.22; 1 study; 337 participants; moderate-certainty evidence) and severe adverse events (RR 1.05, 95% CI 0.79 to 1.41; 2 studies; 776 participants; moderate-certainty evidence).","Compared with pelvic RT alone, women given extended-field RT may have been less likely to die and probably were less likely to have a cervical cancer come back (recurrence) in the para-aortic lymph nodes.","Extended-field radiotherapy versus pelvic radiotherapy alone Compared to pelvic RT, extended-field RT probably reduces the risk of death (hazard ratio (HR) 0.67, 95% confidence interval (CI) 0.48 to 0.94; 1 study; 337 participants; moderate-certainty evidence) and para-aortic lymph node recurrence (moderate-certainty evidence), although there may or may not have been improvement.",37.135113728110106,0.82316196
"When considering all studies with a cut-off of 10 μmol/L, TSBA overall sensitivity ranged from 0.72 to 0.98 and specificity ranged from 0.81 to 0.97.","When considering the studies with a cut-off of 10 μmol/L for TSBA serum concentration, TSBA overall sensitivity (the ability to correctly identify women with the disease) ranged from 72% to 98% and specificity (the ability to correctly identify women without the disease) ranged from 81% to 97%.","When considering all studies with a cut-off of 10 mol/L, TSBA overall sensitivity ranged from 0.72 to 0.98 and specificity ranged from 0.81 to 0.97.",19.827984412267018,0.85926634
Thirty-two randomized controlled trials meeting the inclusion criteria were identified.,The authors reviewed the results of all randomized trials that compared an aldose reductase inhibitor with a control and lasted at least six months.,Thirty-two randomized controlled trials meeting the inclusion criteria were identified.,37.77777777777778,0.7882617
"Adverse events at the injection site were more common among vaccine recipients than placebo recipients, but they were mild and resolved in a few days.","Non-serious adverse events were more common among vaccine recipients than placebo recipients, but serious ones were rare.","Adverse events at the injection site were more common among vaccine recipients than placebo recipients, but they were mild and resolved in a few days.",52.568474046802216,0.9116079
"In a series of pre-planned analyses, the greatest reductions in death or dependency were seen in the trials evaluating a co-ordinated ESD team with a suggestion of poorer results in those services without a co-ordinated team (subgroup interaction at P = 0.06).",The greatest reductions in disability seemed to be present in trials based around a co-ordinated ESD team.,"In a series of pre-planned analyses, the greatest reductions in death or dependency were seen in the trials evaluating a co-ordinated ESD team with a suggestion of poorer results in those services without a co-ordinated team.",43.048820324234036,0.883467
"The studies presented data on 15,077 women with a wide range of risk factors for breast cancer, who underwent RRM.","Sixty-one studies presented data on 15,077 women with a wide range of risk factors for developing breast cancer, who underwent RRM.","The studies presented data on 15,077 women with a wide range of risk factors for breast cancer, who underwent RRM.",64.40013371784917,0.9749784
The operating time was significantly shorter in the percutaneous technique group (MD -59 minutes; 95% CI -102 to -16).,The operating time was shorter in the percutaneous technique group.,The operating time was significantly shorter in the percutaneous technique group (MD -59 minutes; 95% CI -102 to -16).,57.25634222408416,0.90347886
"In addition, there is insufficient evidence to determine the effect of other antiviral treatments; therefore, further well-designed RCTs are needed to investigate famciclovir or other new antiviral agents in preventing PHN.",There need to be further well-designed trials of famciclovir or other new antiviral agents with a greater number of participants.,"In addition, there is insufficient evidence to determine the effect of other antiviral treatments; therefore, further well-designed RCTs are needed to investigate famciclovir or other new antiviral agents in preventing PHN.",43.384694218027555,0.8712272
The main outcomes will be the rates of aspiration and pneumonia.,The main outcomes in this study will be the rates of aspiration and pneumonia.,The main outcomes will be the rates of aspiration and pneumonia.,63.67724867724868,0.9617626
"We included 35 trials (13,872 adult participants).","We included 35 trials involving 13,872 adult participants, all of whom were randomized to either receive nitrous oxide or no nitrous oxide.","We included 35 trials (13,872 adult participants).",53.32190957190958,0.8518416
"Corticosteroids reduced severe hearing loss in children with H influenzae meningitis (RR 0.34, 95% CI 0.20 to 0.59) but not in children with meningitis due to non-Haemophilus species.","Corticosteroids decreased the rate of hearing loss in children with meningitis due to H influenzae (4% versus 12%), but not in children with meningitis due to other bacteria.",Corticosteroids reduced severe hearing loss in children with H influenzae meningitis but not in children with meningitis due to non-Haemophilus species.,52.405180586900876,0.9187556
"The evidence provided in this review indicates that addition of adrenaline to lidocaine may prolong the duration of anaesthesia and reduce the risk of bleeding during surgery, although the quality of the evidence is low.",The quality of evidence is low for both duration of anaesthesia and bleeding during surgery with use of adrenaline with lidocaine. Further research is needed to prove the benefits of adding adrenaline to lidocaine.,"The evidence provided in this review indicates that addition of adrenaline to lidocaine may prolong the duration of anaesthesia and reduce risk of bleeding during surgery, although the quality of the evidence is low.",38.2954759822332,0.87716424
"More independent, large, long-term trials are needed to compare RIs with ACE inhibitors, particularly assessing morbidity and mortality outcomes, but also on blood pressure-lowering effect.","More independent RCTs are needed to assess illnesses and deaths, and to see if the difference in blood pressure-lowering is real.","More independent, large, long-term trials are needed to compare RIs with ACE inhibitors, particularly assessing morbidity and mortality outcomes, but also on blood pressure-lowering effect.",40.181121560431905,0.84328204
"Additionally, due to methodological limitations in the included study, also reflected in the low-quality evidence judged following the specific evidence grading system (GRADE), no clear conclusions on β-carotene supplementation can be drawn.","This is reflected in the assessment of low-quality evidence, judged using the specific evidence grading system (GRADE).","Additionally, due to methodological limitations in the included study, also reflected in the low-quality evidence judged following the specific evidence grading system (GRADE), no clear conclusions on -carotene supplementation can be drawn.",46.99393358876118,0.8604096
COX-2 NSAIDs had statistically significantly fewer side-effects than traditional NSAIDs.,"The new COX-2 NSAIDs do not seem to be more effective than traditional NSAIDs, but are associated with fewer side effects, particularly stomach ulcers.",COX-2 NSAIDs had statistically significantly less side-effects than traditional NSAIDs.,37.544384454496814,0.8755691
Studies assessing the effect of antidotes on other cardenolides were not identified.,Studies assessing the effect of antidotes on other cardenolides were not identified.,Studies assessing the effect of antidotes on other cardenolides were not identified.,100.0,0.9999998
"No more than two trials assessed each of our secondary outcomes of quality of life, mood, sleep, activities of daily living, caregiver burden.","No more than three studies reported our secondary outcomes which were quality of life, cognition (thinking), mood, sleep, activities of daily living, and caregiver burden.","No more than two trials assessed each of our secondary outcomes of quality of life, mood, sleep, activities of daily living, caregiver burden.",56.97992584068533,0.9379009
Most of the studies originated from China (47.7%) or the USA (20.9%); 9.5% were from Italy.,Studies were mostly from China and the USA.,Most of the studies originated from China (47.7%) or the USA (20.9%); 9.5% were from Italy.,38.666666666666664,0.79597795
"We included three RCTs, involving a total of 219 adults with severe acute pancreatitis with various etiologies, including alcoholic abuse, biliary disease, high-fat diet, hyperlipidemia, etc.","We included three randomized controlled trials (experiments in which participants are randomly allocated to two or more interventions, possibly including a control intervention or no intervention, and the results are compared). We included three studies, involving a total of 219 adults with severe acute pancreatitis due to various reasons, including alcoholic abuse, biliary disease, high-fat diet, excess lipids in the blood, etc.","We included three RCTs, involving a total of 219 adults with severe acute pancreatitis with various etiologies, including alcoholic abuse, biliary disease, high-fat diet, hyperlipidemia, etc.",60.565015215441896,0.8743585
No practice recommendations could be drawn from this review.,"Hence, the aim of this review was to assess and synthesise the available literature on the management of cough in cancer patients in order to improve practice recommendations. No practice recommendations could be drawn from this review.",No practice recommendations could be drawn from this review.,66.66666666666666,0.87520015
